Equipment ID,Green Tag Date,Blue Tag Date,Deadline,SLA Status
00258-EA-XX-XX-XXX,2024-10-07,2024-10-10,2024-10-14,On Time
00259-EA-XX-XX-XXX,2024-10-07,2024-10-12,2024-10-14,On Time
00260-EA-XX-XX-XXX,2024-10-10,2024-10-15,2024-10-17,On Time
00261-EA-XX-XX-XXX,2024-10-17,2024-10-25,2024-10-24,Late
00262-EA-XX-XX-XXX,2024-10-24,2024-11-06,2024-10-31,Late
00263-EA-XX-XX-XXX,2024-10-25,2024-11-06,2024-11-01,Late
00276-EA-XX-XX-XXX,2024-10-01,2024-10-15,2024-10-08,Late
00277-EA-XX-XX-XXX,2024-08-29,2024-09-06,2024-09-05,Late
00278-EA-XX-XX-XXX,2024-09-19,2024-10-02,2024-09-26,Late
00281-EA-XX-XX-XXX,2024-12-06,2024-12-06,2024-12-13,On Time
00282-EA-XX-XX-XXX,2024-12-06,2024-12-06,2024-12-13,On Time
00283-EA-XX-XX-XXX,2024-12-06,2024-12-17,2024-12-13,Late
00284-EA-XX-XX-XXX,2024-12-06,2024-12-11,2024-12-13,On Time
00289-EA-XX-XX-XXX,2024-08-29,2024-09-06,2024-09-05,Late
00290-EA-XX-XX-XXX,2024-09-16,2024-09-19,2024-09-23,On Time
00291-EA-XX-XX-XXX,2024-10-07,2024-10-12,2024-10-14,On Time
00292-EA-XX-XX-XXX,2024-10-01,2024-10-11,2024-10-08,Late
00293-EA-XX-XX-XXX,2024-10-01,2024-10-15,2024-10-08,Late
00294-EA-XX-XX-XXX,2024-10-07,2024-10-10,2024-10-14,On Time
00295-EA-XX-XX-XXX,2024-10-07,2024-10-11,2024-10-14,On Time
00296-EA-XX-XX-XXX,2024-10-10,2024-10-15,2024-10-17,On Time
00297-EA-XX-XX-XXX,2024-10-17,2024-10-25,2024-10-24,Late
00298-EA-XX-XX-XXX,2024-10-24,2024-11-06,2024-10-31,Late
00299-EA-XX-XX-XXX,2024-10-25,2024-11-06,2024-11-01,Late
00312-EA-XX-XX-XXX,2024-10-01,2024-10-15,2024-10-08,Late
00313-EA-XX-XX-XXX,2024-08-29,2024-09-06,2024-09-05,Late
00314-EA-XX-XX-XXX,2024-09-19,2024-10-02,2024-09-26,Late
00317-EA-XX-XX-XXX,2024-12-06,2024-12-06,2024-12-13,On Time
00318-EA-XX-XX-XXX,2024-12-06,2024-12-06,2024-12-13,On Time
00319-EA-XX-XX-XXX,2024-12-06,2024-12-17,2024-12-13,Late
00320-EA-XX-XX-XXX,2024-12-06,2024-12-11,2024-12-13,On Time
00325-EA-XX-XX-XXX,2024-10-28,2024-11-07,2024-11-04,Late
00326-EA-XX-XX-XXX,2024-10-28,2024-11-07,2024-11-04,Late
00327-EA-XX-XX-XXX,2024-10-28,2024-11-07,2024-11-04,Late
00331-EA-XX-XX-XXX,2024-10-28,2024-11-07,2024-11-04,Late
00332-EA-XX-XX-XXX,2024-11-07,2024-11-08,2024-11-14,On Time
00333-EA-XX-XX-XXX,2024-10-30,2024-11-13,2024-11-06,Late
00334-EA-XX-XX-XXX,2024-10-28,2024-11-13,2024-11-04,Late
00335-EA-XX-XX-XXX,2024-11-07,2024-11-12,2024-11-14,On Time
00336-EA-XX-XX-XXX,2024-11-07,2024-11-12,2024-11-14,On Time
00339-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00340-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00341-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00342-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00343-EA-XX-XX-XXX,2024-09-20,2024-10-18,2024-09-27,Late
00344-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00345-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00346-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00347-EA-XX-XX-XXX,2024-09-24,2024-09-26,2024-10-01,On Time
00348-EA-XX-XX-XXX,2024-09-25,2024-09-26,2024-10-02,On Time
00349-EA-XX-XX-XXX,2024-09-25,2024-09-26,2024-10-02,On Time
00350-EA-XX-XX-XXX,2024-09-25,2024-09-26,2024-10-02,On Time
00351-EA-XX-XX-XXX,2024-09-25,2024-09-26,2024-10-02,On Time
00352-EA-XX-XX-XXX,2024-09-25,2024-09-26,2024-10-02,On Time
00353-EA-XX-XX-XXX,2024-09-25,2024-09-30,2024-10-02,On Time
00354-EA-XX-XX-XXX,2024-09-25,2024-10-09,2024-10-02,Late
00355-EA-XX-XX-XXX,2024-09-25,2024-10-03,2024-10-02,Late
00374-EA-XX-XX-XXX,2024-09-19,2024-09-26,2024-09-26,On Time
00375-EA-XX-XX-XXX,2024-09-19,2024-09-26,2024-09-26,On Time
00376-EA-XX-XX-XXX,2024-09-19,2024-09-26,2024-09-26,On Time
00377-EA-XX-XX-XXX,2024-09-19,2024-09-26,2024-09-26,On Time
00378-EA-XX-XX-XXX,2024-09-19,2024-09-26,2024-09-26,On Time
00379-EA-XX-XX-XXX,2024-09-25,2024-09-26,2024-10-02,On Time
00380-EA-XX-XX-XXX,2024-09-19,2024-09-26,2024-09-26,On Time
00381-EA-XX-XX-XXX,2024-09-19,2024-09-26,2024-09-26,On Time
00382-EA-XX-XX-XXX,2024-09-20,2024-10-12,2024-09-27,Late
00383-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00384-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00385-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00386-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00387-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00388-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00389-EA-XX-XX-XXX,2024-09-26,2024-10-02,2024-10-03,On Time
00390-EA-XX-XX-XXX,2024-09-20,2024-09-26,2024-09-27,On Time
00409-EA-XX-XX-XXX,2025-01-09,2025-01-09,2025-01-16,On Time
00410-EA-XX-XX-XXX,2025-01-10,2025-01-10,2025-01-17,On Time
00411-EA-XX-XX-XXX,2025-01-09,2025-01-09,2025-01-16,On Time
00412-EA-XX-XX-XXX,2025-01-09,2025-01-09,2025-01-16,On Time
00415-EA-XX-XX-XXX,2024-12-11,2025-04-11,2024-12-18,Late
00416-EA-XX-XX-XXX,2024-12-09,2024-12-11,2024-12-16,On Time
00424-EA-XX-XX-XXX,2025-04-08,2025-04-11,2025-04-15,On Time
00433-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00434-EA-XX-XX-XXX,2024-10-28,2024-11-22,2024-11-04,Late
00435-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00436-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00437-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00438-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00445-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00446-EA-XX-XX-XXX,2024-10-28,2024-11-22,2024-11-04,Late
00447-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00448-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00449-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00450-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00451-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00452-EA-XX-XX-XXX,2024-10-28,2024-11-22,2024-11-04,Late
00453-EA-XX-XX-XXX,2024-10-28,2024-11-22,2024-11-04,Late
00454-EA-XX-XX-XXX,2024-10-28,2024-11-26,2024-11-04,Late
00455-EA-XX-XX-XXX,2024-10-28,2024-11-26,2024-11-04,Late
00456-EA-XX-XX-XXX,2024-10-28,2024-11-01,2024-11-04,On Time
00470-EA-XX-XX-XXX,2024-12-19,2024-12-23,2024-12-26,On Time
00474-EA-XX-XX-XXX,2024-10-08,2024-10-25,2024-10-15,Late
00475-EA-XX-XX-XXX,2024-10-30,2024-11-07,2024-11-06,Late
00478-EA-XX-XX-XXX,2024-10-10,2024-10-25,2024-10-17,Late
00479-EA-XX-XX-XXX,2024-10-30,2024-11-07,2024-11-06,Late
00487-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00488-EA-XX-XX-XXX,2024-09-13,2024-09-13,2024-09-20,On Time
00489-EA-XX-XX-XXX,2024-09-13,2024-09-13,2024-09-20,On Time
00490-EA-XX-XX-XXX,2024-09-13,2024-09-13,2024-09-20,On Time
00491-EA-XX-XX-XXX,2024-09-13,2024-09-13,2024-09-20,On Time
00492-EA-XX-XX-XXX,2024-09-13,2024-09-13,2024-09-20,On Time
00493-EA-XX-XX-XXX,2024-09-04,2024-09-10,2024-09-11,On Time
00494-EA-XX-XX-XXX,2024-09-13,2024-09-13,2024-09-20,On Time
00495-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00496-EA-XX-XX-XXX,2024-09-13,2024-09-13,2024-09-20,On Time
00497-EA-XX-XX-XXX,2024-09-13,2024-09-13,2024-09-20,On Time
00498-EA-XX-XX-XXX,2024-09-13,2024-09-13,2024-09-20,On Time
00499-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00500-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00501-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00502-EA-XX-XX-XXX,2024-09-13,2024-09-24,2024-09-20,Late
00503-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00504-EA-XX-XX-XXX,2024-09-19,2024-09-24,2024-09-26,On Time
00505-EA-XX-XX-XXX,2024-09-26,2024-10-02,2024-10-03,On Time
00506-EA-XX-XX-XXX,2024-09-19,2024-10-02,2024-09-26,Late
00507-EA-XX-XX-XXX,2024-09-19,2024-11-13,2024-09-26,Late
00508-EA-XX-XX-XXX,2024-09-19,2024-09-24,2024-09-26,On Time
00509-EA-XX-XX-XXX,2024-09-26,2024-10-02,2024-10-03,On Time
00510-EA-XX-XX-XXX,2024-12-31,2025-01-03,2025-01-07,On Time
00534-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00535-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00536-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00537-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00538-EA-XX-XX-XXX,2024-09-13,2024-09-19,2024-09-20,On Time
00539-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00540-EA-XX-XX-XXX,2024-09-16,2024-09-19,2024-09-23,On Time
00541-EA-XX-XX-XXX,2024-09-13,2024-09-17,2024-09-20,On Time
00542-EA-XX-XX-XXX,2024-09-13,2024-09-19,2024-09-20,On Time
00543-EA-XX-XX-XXX,2024-09-13,2024-10-02,2024-09-20,Late
00544-EA-XX-XX-XXX,2024-09-16,2024-09-19,2024-09-23,On Time
00545-EA-XX-XX-XXX,2024-09-16,2024-09-19,2024-09-23,On Time
00546-EA-XX-XX-XXX,2024-09-16,2024-09-19,2024-09-23,On Time
00547-EA-XX-XX-XXX,2024-09-16,2024-09-19,2024-09-23,On Time
00548-EA-XX-XX-XXX,2024-09-16,2024-09-19,2024-09-23,On Time
00549-EA-XX-XX-XXX,2024-09-16,2024-09-19,2024-09-23,On Time
00550-EA-XX-XX-XXX,2024-09-10,2024-09-19,2024-09-17,Late
00551-EA-XX-XX-XXX,2024-09-19,2024-09-24,2024-09-26,On Time
00552-EA-XX-XX-XXX,2024-09-19,2024-09-24,2024-09-26,On Time
00553-EA-XX-XX-XXX,2024-09-19,2024-09-24,2024-09-26,On Time
00574-EA-XX-XX-XXX,2024-09-10,2024-09-17,2024-09-17,On Time
00576-EA-XX-XX-XXX,2024-12-06,2024-12-10,2024-12-13,On Time
00577-EA-XX-XX-XXX,2024-11-14,2024-11-22,2024-11-21,Late
00580-EA-XX-XX-XXX,2024-11-18,2024-11-22,2024-11-25,On Time
00581-EA-XX-XX-XXX,2024-11-18,2024-11-22,2024-11-25,On Time
00582-EA-XX-XX-XXX,2024-11-18,2024-11-22,2024-11-25,On Time
00587-EA-XX-XX-XXX,2024-11-18,2024-11-22,2024-11-25,On Time
00588-EA-XX-XX-XXX,2024-12-03,2024-12-14,2024-12-10,Late
00589-EA-XX-XX-XXX,2024-12-19,2024-12-26,2024-12-26,On Time
00590-EA-XX-XX-XXX,2024-12-19,2024-12-26,2024-12-26,On Time
00599-EA-XX-XX-XXX,2024-12-11,2024-12-14,2024-12-18,On Time
00600-EA-XX-XX-XXX,2024-11-27,2024-12-03,2024-12-04,On Time
00602-EA-XX-XX-XXX,2024-11-27,2024-12-03,2024-12-04,On Time
00605-EA-XX-XX-XXX,2024-11-27,2024-12-03,2024-12-04,On Time
00610-EA-XX-XX-XXX,2024-11-15,2024-11-19,2024-11-22,On Time
00611-EA-XX-XX-XXX,2024-11-20,2024-11-22,2024-11-27,On Time
00612-EA-XX-XX-XXX,2024-11-18,2024-11-22,2024-11-25,On Time
00613-EA-XX-XX-XXX,2024-11-20,2024-11-26,2024-11-27,On Time
00614-EA-XX-XX-XXX,2024-11-15,2024-11-26,2024-11-22,Late
00615-EA-XX-XX-XXX,2024-11-20,2024-11-26,2024-11-27,On Time
00616-EA-XX-XX-XXX,2024-11-20,2024-11-26,2024-11-27,On Time
00617-EA-XX-XX-XXX,2024-11-22,2024-11-26,2024-11-29,On Time
00618-EA-XX-XX-XXX,2024-11-20,2024-11-22,2024-11-27,On Time
00619-EA-XX-XX-XXX,2024-11-15,2024-11-22,2024-11-22,On Time
00620-EA-XX-XX-XXX,2024-11-20,2024-11-22,2024-11-27,On Time
00633-EA-XX-XX-XXX,2024-11-13,2024-11-26,2024-11-20,Late
00634-EA-XX-XX-XXX,2024-11-11,2024-11-15,2024-11-18,On Time
00635-EA-XX-XX-XXX,2024-11-11,2024-11-13,2024-11-18,On Time
00636-EA-XX-XX-XXX,2024-11-27,2024-12-03,2024-12-04,On Time
00637-EA-XX-XX-XXX,2024-11-11,2024-11-12,2024-11-18,On Time
00638-EA-XX-XX-XXX,2024-11-11,2024-11-15,2024-11-18,On Time
00639-EA-XX-XX-XXX,2024-11-20,2024-11-22,2024-11-27,On Time
00640-EA-XX-XX-XXX,2024-11-20,2024-11-22,2024-11-27,On Time
00641-EA-XX-XX-XXX,2024-11-20,2024-11-22,2024-11-27,On Time
00642-EA-XX-XX-XXX,2024-11-22,2024-11-22,2024-11-29,On Time
00643-EA-XX-XX-XXX,2024-11-26,2024-12-11,2024-12-03,Late
00644-EA-XX-XX-XXX,2024-11-22,2024-11-26,2024-11-29,On Time
00645-EA-XX-XX-XXX,2024-11-15,2024-11-22,2024-11-22,On Time
00646-EA-XX-XX-XXX,2024-11-20,2024-11-22,2024-11-27,On Time
00647-EA-XX-XX-XXX,2024-12-12,2024-12-17,2024-12-19,On Time
00648-EA-XX-XX-XXX,2024-11-13,2024-11-15,2024-11-20,On Time
00649-EA-XX-XX-XXX,2024-11-20,2024-11-22,2024-11-27,On Time
00650-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00684-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00685-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00686-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00687-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00688-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00689-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00690-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00691-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00692-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00693-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00694-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00695-EA-XX-XX-XXX,2024-11-26,2024-11-26,2024-12-03,On Time
00696-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00697-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00710-EA-XX-XX-XXX,2024-12-11,2024-12-13,2024-12-18,On Time
00711-EA-XX-XX-XXX,2024-12-17,2024-12-19,2024-12-24,On Time
00712-EA-XX-XX-XXX,2024-12-11,2024-12-13,2024-12-18,On Time
00713-EA-XX-XX-XXX,2024-11-26,2024-11-27,2024-12-03,On Time
00714-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00715-EA-XX-XX-XXX,2024-11-26,2024-11-27,2024-12-03,On Time
00716-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00717-EA-XX-XX-XXX,2024-11-26,2024-11-27,2024-12-03,On Time
00718-EA-XX-XX-XXX,2024-11-23,2024-11-26,2024-12-02,On Time
00719-EA-XX-XX-XXX,2024-12-27,2024-12-31,2025-01-03,On Time
